order_detail_id,order_id,product_id,quantity,price_per_unit
1,3121,905,10,209.80
2,5499,335,9,148.98
3,7601,947,6,135.17
4,4402,9,10,58.25
5,4893,395,8,46.97
6,1948,779,9,33.46
7,1548,636,1,164.37
8,54,195,3,303.03
9,2102,269,3,147.27
10,4709,319,1,173.46
11,5511,173,5,324.94
12,8842,75,7,209.39
13,5470,561,7,55.71
14,1052,469,9,26.77
15,6341,867,9,134.34
16,5281,364,7,26.82
17,2711,975,9,314.54
18,6898,747,10,58.59
19,2254,418,9,244.49
20,9027,493,10,23.72
21,5132,155,5,288.25
22,9768,857,1,258.52
23,4978,750,8,217.84
24,9093,878,6,300.76
25,5568,862,4,214.50
26,5125,662,8,54.67
27,92,32,1,145.28
28,4568,56,5,327.07
29,930,509,6,282.27
30,4632,650,3,167.63
31,1352,895,9,136.16
32,9155,854,1,298.52
33,806,115,7,187.97
34,701,666,6,229.56
35,275,814,5,66.09
36,4880,959,8,27.50
37,9203,967,8,163.10
38,946,310,6,247.71
39,7589,488,9,166.53
40,7654,688,6,84.91
41,7676,517,4,42.72
42,1638,372,8,65.47
43,2097,210,8,254.15
44,9147,562,10,248.36
45,6752,430,6,317.32
46,1830,473,6,312.62
47,9543,529,9,150.16
48,1479,847,10,304.90
49,5137,751,9,99.30
50,5527,619,2,308.58
51,1870,774,2,70.70
52,9033,604,7,228.52
53,229,809,4,206.18
54,8946,800,1,14.92
55,8003,235,5,261.49
56,842,566,4,193.14
57,2191,685,4,65.91
58,7651,668,2,190.14
59,8256,327,9,296.35
60,7059,613,10,62.77
61,1884,453,7,251.04
62,8895,278,4,306.33
63,2607,856,6,261.95
64,6351,378,6,130.19
65,1358,955,2,2.23
66,9512,833,3,177.22
67,2426,997,10,316.25
68,4512,625,6,124.59
69,6297,178,7,237.25
70,2978,810,6,269.73
71,4408,880,3,187.36
72,7123,845,7,225.50
73,9119,589,5,95.39
74,4291,869,10,94.90
75,2425,797,8,15.89
76,2706,399,7,120.25
77,1324,659,8,134.57
78,939,623,3,136.11
79,9276,590,1,175.08
80,1356,813,8,170.26
81,9058,936,1,231.23
82,3337,722,3,156.73
83,4070,330,10,161.15
84,2694,91,10,67.93
85,4323,882,3,57.53
86,1466,666,9,0.74
87,3970,144,2,86.41
88,720,266,6,32.27
89,3488,328,7,16.03
90,47,795,5,315.72
91,5431,776,9,279.98
92,39,60,2,253.01
93,8293,570,8,20.94
94,3269,760,4,136.79
95,3037,483,1,234.97
96,1038,164,8,26.78
97,1169,511,4,231.85
98,7091,898,1,229.81
99,5070,335,8,271.32
100,7404,726,4,159.22
101,4376,443,8,145.98
102,1235,174,3,284.88
103,3309,677,1,271.76
104,179,779,6,246.46
105,5832,197,5,154.97
106,7633,859,3,169.36
107,7256,102,9,170.87
108,5589,25,6,307.99
109,4716,153,10,6.09
110,5477,47,2,212.51
111,4301,337,7,159.26
112,7159,965,1,22.67
113,1682,58,1,240.01
114,1600,816,9,245.37
115,319,846,3,39.74
116,706,160,7,124.75
117,4622,421,2,61.89
118,9287,937,7,232.37
119,1750,151,4,285.34
120,5229,235,10,194.85
121,4363,557,2,11.81
122,7010,635,2,251.96
123,6440,82,8,303.62
124,9789,404,6,23.97
125,2774,10,1,269.79
126,2771,192,10,41.48
127,890,25,4,61.70
128,1095,516,2,96.21
129,2729,753,10,12.28
130,2519,783,9,123.40
131,1814,438,7,248.82
132,2539,263,2,176.57
133,3497,210,4,124.24
134,6446,233,5,140.61
135,6266,895,7,249.56
136,5344,657,7,68.85
137,8223,931,8,265.70
138,3323,711,6,22.37
139,9941,133,8,245.60
140,7678,553,5,219.37
141,3239,847,5,133.57
142,5609,736,4,263.82
143,4049,52,7,165.50
144,5168,599,8,5.87
145,7387,525,5,177.56
146,2739,908,8,59.69
147,9136,849,5,162.25
148,7574,534,8,234.26
149,2957,738,2,141.91
150,1906,27,9,229.00
151,1959,918,5,93.62
152,9371,857,9,314.64
153,6888,790,10,35.49
154,9924,564,7,141.41
155,8699,23,10,36.54
156,6395,629,3,216.41
157,2565,191,9,236.14
158,2721,765,4,233.34
159,623,954,10,29.62
160,1202,491,5,31.10
161,9533,528,2,152.63
162,7100,118,7,243.73
163,4394,752,3,28.10
164,3781,675,10,298.08
165,6194,423,4,278.42
166,2411,453,9,170.18
167,2537,541,7,231.63
168,4097,776,3,181.43
169,28,264,7,179.39
170,8007,575,3,37.10
171,1960,433,9,211.39
172,7572,70,9,321.40
173,3989,869,4,262.43
174,9042,620,7,170.20
175,8001,628,1,209.95
176,159,604,8,176.01
177,4948,626,6,131.05
178,8635,328,9,62.24
179,2705,707,3,118.57
180,3752,906,5,307.96
181,874,409,3,91.66
182,195,986,4,305.14
183,6958,494,7,320.15
184,6641,571,3,247.26
185,7535,322,2,86.36
186,2396,742,6,102.74
187,2217,213,4,230.05
188,363,232,2,90.78
189,7387,24,7,322.51
190,5974,377,4,82.26
191,2900,429,6,33.75
192,6232,808,9,73.65
193,8405,796,4,168.35
194,6058,392,1,297.33
195,7139,333,1,142.86
196,9874,146,8,216.23
197,1324,58,5,81.18
198,6002,464,1,32.16
199,9282,777,3,104.69
200,4718,487,1,152.56
201,7687,781,1,161.04
202,6718,388,3,85.90
203,7387,387,4,307.00
204,7680,408,10,324.51
205,7613,683,3,159.73
206,9318,794,5,120.12
207,3540,492,7,84.62
208,941,764,1,324.15
209,309,760,6,45.48
210,3392,651,2,204.72
211,4731,862,10,93.68
212,4578,950,8,156.11
213,9004,43,8,54.50
214,7025,28,3,127.88
215,2546,454,5,266.27
216,1800,177,3,265.89
217,2712,562,3,48.81
218,9188,880,2,98.72
219,2362,572,8,291.72
220,9844,612,9,144.25
221,3280,686,6,324.93
222,9531,555,5,276.75
223,2896,835,8,99.88
224,3391,780,3,228.23
225,4409,702,2,115.35
226,1304,573,5,162.48
227,4200,7,2,110.76
228,9978,301,10,186.74
229,2991,52,6,18.94
230,7162,835,7,30.25
231,6476,752,8,195.82
232,1215,806,9,277.60
233,4808,17,9,14.80
234,9479,102,8,194.69
235,5651,218,3,64.60
236,824,144,10,174.61
237,9,713,3,278.60
238,8590,753,2,291.86
239,8099,450,7,21.85
240,2048,918,8,313.03
