order_id,customer_id,order_date,total_amount
1,2890,2020-03-31,150.69
2,967,2020-02-14,170.23
3,4266,2021-07-24,95.49
4,904,2022-02-05,225.13
5,213,2021-08-31,303.54
6,2167,2022-07-19,29.09
7,3833,2021-07-19,203.12
8,2581,2020-10-22,62.74
9,2656,2021-06-10,55.05
10,999,2020-07-30,51.90
11,2029,2021-08-03,105.59
12,1510,2021-09-25,36.12
13,907,2022-04-28,185.95
14,2235,2021-09-28,6.15
15,1135,2022-05-24,118.53
16,3718,2020-07-28,61.88
17,2165,2021-03-21,211.92
18,3514,2021-12-24,184.70
19,2137,2020-04-26,288.62
20,1641,2021-09-15,136.02
21,493,2020-03-16,130.54
22,1290,2021-04-26,74.59
23,4808,2022-09-13,307.33
24,4426,2022-07-25,206.83
25,3488,2021-05-29,24.92
26,4410,2021-04-15,312.17
27,1711,2020-12-17,143.30
28,1705,2020-10-26,72.78
29,997,2021-03-24,94.26
30,2258,2020-02-01,50.09
31,1953,2022-09-22,277.42
32,3262,2022-05-28,196.25
33,4258,2020-12-01,240.82
34,2827,2022-03-19,47.87
35,2645,2020-10-10,260.30
36,232,2020-02-17,227.94
37,3341,2021-06-27,145.22
38,4182,2021-12-06,6.84
39,4455,2021-12-10,46.88
40,2572,2021-06-14,65.09
41,738,2020-10-28,270.48
42,2621,2021-01-21,133.65
43,3051,2022-06-13,206.41
44,1671,2020-03-26,238.32
45,3975,2022-06-24,138.84
46,3139,2020-04-04,40.73
47,2440,2020-07-26,219.54
48,1666,2021-11-08,224.24
49,3480,2020-10-08,220.28
50,2197,2020-09-22,52.44
51,4525,2021-09-19,136.06
52,4232,2022-05-04,326.01
53,4571,2020-09-04,172.26
54,3309,2020-07-04,319.32
55,4359,2022-09-05,217.25
56,3265,2022-05-27,148.56
57,508,2022-01-09,97.18
58,4482,2020-01-15,187.61
59,4870,2021-03-27,231.98
60,651,2021-08-29,293.52
61,918,2020-04-22,178.59
62,3538,2022-03-04,107.72
63,563,2020-07-30,239.58
64,93,2020-11-20,300.70
65,2550,2022-09-26,119.78
66,3570,2022-07-31,9.21
67,1625,2020-04-30,268.67
68,3916,2021-10-29,116.46
69,2808,2020-07-09,299.37
70,2443,2020-02-27,30.35
71,4654,2022-09-06,69.58
72,2689,2020-07-26,81.86
73,262,2022-07-31,169.21
74,3109,2020-06-10,151.40
75,2673,2021-03-17,281.88
76,2065,2022-02-10,167.50
77,4740,2022-08-01,69.22
78,4024,2020-08-03,31.94
79,4408,2022-05-23,296.20
80,2179,2020-06-02,1.32
81,1804,2022-04-24,18.23
82,2607,2020-06-14,189.12
83,1040,2020-02-13,50.22
84,1262,2022-06-12,88.72
85,1457,2022-01-04,17.13
86,3411,2022-06-29,87.28
87,2699,2021-08-18,223.42
88,2658,2020-06-07,41.37
89,3566,2020-07-03,179.31
90,3704,2021-11-11,146.59
91,4545,2020-05-02,178.69
92,4099,2021-06-16,85.10
93,3853,2021-04-17,282.19
94,4906,2022-04-25,28.23
95,1391,2021-08-09,303.33
96,2477,2022-05-10,88.39
97,95,2022-02-17,67.56
98,2125,2020-01-21,139.99
99,712,2022-09-01,169.53
100,2779,2021-04-10,24.44
101,2383,2022-06-09,148.68
102,1151,2020-03-13,30.51
103,3446,2020-01-15,149.93
104,1733,2020-04-03,40.72
105,4924,2021-11-02,264.18
106,3615,2021-04-15,24.49
107,3758,2022-04-08,265.75
108,4228,2020-09-22,180.12
109,4778,2020-12-18,43.31
110,210,2020-04-27,30.96
111,3087,2022-01-11,234.88
112,4823,2022-03-24,157.92
113,3472,2020-08-17,269.76
114,3769,2022-04-09,265.76
115,4713,2021-07-13,95.38
116,1788,2020-06-11,249.09
117,3503,2021-07-04,5.29
118,1004,2021-09-07,273.62
119,1413,2020-03-12,288.18
120,1981,2021-12-29,244.75
121,1751,2020-06-30,171.60
122,780,2022-03-11,7.79
123,1280,2022-07-01,246.59
124,3736,2021-02-13,153.88
125,3577,2021-04-03,104.37
126,2739,2022-03-24,7.92
127,2206,2022-01-09,274.85
128,245,2021-11-21,264.37
129,540,2020-07-04,299.32
130,3148,2021-04-06,174.40
131,4769,2021-06-13,192.76
132,2949,2020-01-06,307.51
133,769,2022-03-25,157.92
134,4922,2022-04-13,78.12
135,1055,2021-09-17,183.72
136,2958,2022-01-29,255.06
137,4205,2020-03-09,20.47
138,4858,2021-09-21,303.76
139,4532,2021-06-05,272.68
140,2769,2020-06-19,199.17
141,4530,2022-06-07,226.35
142,1360,2020-05-28,228.95
143,2965,2022-07-16,266.73
144,856,2022-05-16,206.13
145,1140,2021-08-07,263.31
146,971,2022-08-30,257.19
147,1703,2020-06-14,189.12
148,4008,2022-03-19,215.55
149,764,2020-03-16,248.21
150,375,2021-05-01,302.33
151,4899,2020-03-19,90.57
152,2835,2020-10-24,220.43
153,2166,2021-11-26,264.42
154,2909,2020-04-26,248.63
155,443,2021-02-23,251.66
156,4858,2021-04-28,144.62
157,499,2021-09-21,126.07
158,2757,2020-10-07,82.59
159,2521,2021-05-06,4.70
160,3844,2020-03-25,308.31
161,2782,2022-09-08,9.60
162,4791,2020-01-26,177.72
163,2947,2020-05-07,121.06
164,1394,2020-08-15,259.74
165,1606,2021-06-12,262.75
166,3252,2021-01-15,83.59
167,4448,2020-05-09,111.08
168,1310,2020-03-17,140.55
169,601,2021-10-12,176.29
170,3287,2021-06-08,232.71
171,274,2020-02-10,297.87
172,903,2022-07-21,69.11
173,2139,2021-12-01,254.47
