order_detail_id,order_id,product_id,quantity,price_per_unit
1,7317,246,2,130.44
2,9746,32,2,307.02
3,2819,212,10,295.04
4,2572,937,8,303.08
5,1558,547,6,13.42
6,775,782,5,6.15
7,999,434,2,296.47
8,5445,665,7,104.54
9,4435,601,1,193.13
10,1477,685,6,44.16
11,7531,995,5,266.20
12,5149,681,9,152.13
13,1925,716,6,326.33
14,7529,664,6,142.79
15,125,353,5,105.39
16,4568,358,6,192.95
17,1506,179,2,264.88
18,4115,136,7,109.79
19,9556,943,9,18.22
20,4512,392,4,78.17
21,8689,526,9,54.37
22,4492,763,4,212.74
23,5744,322,3,289.08
24,1560,567,9,190.66
25,2669,214,2,283.18
26,7336,739,2,252.16
27,2417,960,10,295.64
28,4948,628,5,215.00
29,7835,516,1,279.91
30,2508,564,3,115.48
31,4248,18,5,76.82
32,8565,703,7,265.30
33,5596,829,10,17.59
34,1775,882,9,174.96
35,2928,842,6,69.36
36,550,347,3,25.40
37,7104,708,2,273.65
38,7345,320,6,51.28
39,6058,836,5,101.92
40,9305,411,3,308.32
41,5360,749,3,86.46
42,4125,737,8,67.65
43,426,924,3,78.19
44,9663,419,3,4.47
45,474,912,8,83.80
46,6590,820,1,248.29
47,1221,164,5,188.27
48,3402,142,6,61.48
49,8906,868,5,265.82
50,7523,545,10,230.12
51,2135,563,9,290.01
52,6307,875,3,88.12
53,4301,312,8,321.71
54,5843,181,3,16.08
55,6230,677,8,231.74
56,3212,254,4,208.08
57,9029,481,10,237.57
58,160,575,7,23.82
59,9736,125,9,102.75
60,5812,383,2,309.63
61,1915,182,7,99.82
62,1884,120,1,30.40
63,3125,347,6,216.80
64,9948,157,6,141.96
65,647,724,4,128.35
66,7469,284,4,54.20
67,8236,743,5,142.78
68,5277,776,3,268.51
69,6032,904,10,171.48
70,4512,19,10,153.38
71,886,690,1,192.20
72,2950,65,9,119.15
73,3828,305,4,24.47
74,5311,854,3,216.05
75,9883,183,2,90.18
76,8247,169,6,32.83
77,695,338,7,131.60
78,8755,610,6,325.67
79,3576,741,8,205.68
80,2528,340,9,255.64
81,2939,529,9,101.15
82,8440,854,5,155.69
83,2078,178,3,67.56
84,1447,531,1,181.53
85,1027,642,8,163.87
86,7444,12,8,270.73
87,6313,880,1,197.75
88,7197,356,3,303.38
89,5943,904,3,55.47
90,2102,352,2,183.54
91,325,496,7,21.81
92,5102,611,8,3.42
93,1446,610,5,125.52
94,1839,755,2,305.14
95,5216,151,4,182.15
96,1099,188,3,204.52
97,1519,136,5,136.81
98,5699,622,6,15.90
99,1791,147,10,47.93
100,3176,543,8,78.96
101,4462,449,10,229.59
102,7708,399,9,305.57
103,721,124,3,57.71
104,6885,745,8,113.17
105,614,541,7,170.19
106,4499,669,9,261.02
107,1765,804,9,16.57
108,8270,820,1,69.66
109,1763,618,7,47.80
110,7759,363,2,109.47
111,2109,725,10,34.57
112,2802,270,9,212.36
113,5996,760,4,177.07
114,650,902,9,95.94
115,3487,277,9,143.61
116,6437,314,3,234.96
117,986,107,5,93.89
118,7830,119,8,38.55
119,479,44,10,36.45
120,8452,817,5,326.22
121,2843,765,6,299.83
122,1155,7,6,308.99
123,254,744,2,208.10
124,8348,982,2,122.69
125,7989,160,1,89.27
126,2830,524,1,234.50
127,5537,901,2,44.93
128,7530,788,9,310.31
129,9483,524,8,29.91
130,2394,887,7,239.35
131,8753,567,5,39.93
132,9761,696,10,4.02
133,4353,590,6,136.73
134,5806,132,2,117.52
135,2069,627,9,75.15
136,6014,221,9,237.33
137,415,819,2,16.49
138,6514,118,9,82.33
139,1281,793,9,294.22
140,653,523,4,137.46
141,3159,80,4,214.86
142,9082,863,1,261.53
143,1932,884,2,110.54
144,5016,902,9,50.14
145,9926,410,2,229.68
146,3295,835,4,40.70
147,5348,324,1,235.66
148,259,135,3,155.68
149,444,309,1,286.88
150,1746,287,8,132.41
151,7250,336,5,324.25
152,1849,229,6,320.84
153,9691,198,7,48.81
154,3438,779,1,254.33
155,2173,981,4,69.38
156,1861,898,1,213.75
157,4480,823,7,40.72
158,5361,941,6,208.96
159,368,126,2,276.59
160,5313,365,10,183.60
161,4197,431,8,275.89
162,1609,609,7,197.28
163,1930,186,6,281.74
164,8559,315,10,294.02
165,7970,438,10,226.71
166,9422,881,6,294.59
167,4393,351,4,37.57
168,9641,908,5,305.48
169,1847,514,7,192.90
170,1540,512,5,163.89
171,6821,369,4,284.82
172,4330,461,6,289.40
173,2971,147,5,22.01
174,7182,814,5,245.61
175,7725,40,6,285.51
176,9898,83,10,82.00
177,7729,416,2,148.66
178,2578,98,2,256.29
179,1524,526,3,296.76
180,3754,707,7,209.38
181,3198,478,7,252.36
182,5679,755,2,167.11
183,5337,53,3,70.84
184,6660,833,9,198.38
185,4829,588,2,172.58
186,432,517,10,150.20
187,9145,297,8,231.97
188,2736,790,2,181.32
189,8623,297,4,19.33
190,606,436,9,76.29
191,4485,481,5,109.53
192,5992,976,3,70.85
193,307,185,8,185.88
194,9992,153,5,294.24
195,9011,701,7,188.79
196,6649,976,6,246.96
197,649,578,3,167.79
198,915,463,10,16.38
199,6725,967,5,137.37
200,4239,334,3,326.02
201,1286,786,8,171.81
202,4048,932,3,283.05
203,3355,26,10,240.94
204,7326,781,2,281.75
205,9590,253,2,158.90
206,8256,143,6,134.18
207,7128,916,7,323.79
208,4272,309,3,0.88
209,2932,496,10,145.66
210,2824,446,6,143.18
211,759,299,3,28.50
212,242,4,3,205.48
213,3355,480,1,313.36
214,2326,220,4,38.48
215,5788,546,1,164.34
216,6557,980,9,232.88
217,1594,872,10,224.87
218,8976,69,9,244.43
219,9115,289,5,87.69
220,1623,818,1,129.24
221,3961,909,3,222.68
222,1487,129,6,19.78
223,6696,214,8,53.77
224,8278,788,10,308.33
225,9150,594,7,102.85
226,9552,962,6,123.45
227,9795,783,8,290.32
228,1897,519,3,69.82
229,797,227,6,168.55
230,8853,149,5,117.85
231,1057,811,6,215.26
232,8981,443,2,78.53
233,3491,347,2,138.89
234,7710,66,1,70.30
235,9034,700,6,227.26
236,2913,192,1,133.44
237,1713,157,3,226.26
238,9178,699,2,326.15
239,7350,821,2,275.16
240,433,421,7,235.80
241,4680,619,8,144.41
242,3724,237,1,247.48
243,2214,804,6,237.14
244,9363,964,9,197.94
245,3625,881,9,13.44
246,6126,530,3,296.47
247,9844,831,4,140.01
248,5148,134,3,123.75
249,1705,768,1,126.85
250,199,891,8,292.09
251,2137,999,3,133.06
252,7184,175,1,78.17
253,9879,922,10,68.88
254,7132,133,3,3.43
255,1538,702,1,31.39
