order_id,customer_id,order_date,total_amount
1,3132,,71.23
2,4662,,17.17
3,3369,,276.41
4,2870,,173.26
5,1667,,187.35
6,2188,,125.71
7,136,,43.04
8,3214,,206.00
9,855,,266.83
10,1050,,13.03
11,4782,,214.80
12,1304,,258.97
13,4833,,134.61
14,1510,,44.00
15,3793,,98.75
16,3381,,143.48
17,4198,,64.18
18,381,,93.70
19,2445,,171.64
20,1583,,98.82
21,3414,,207.54
22,631,,29.15
23,1904,,131.03
24,3437,,234.28
25,106,,173.10
26,3101,,90.01
27,4834,,186.26
28,803,,28.87
29,4176,,138.37
30,1471,,270.48
31,1026,,144.80
32,2571,,185.87
33,790,,265.00
34,47,,194.04
35,2065,,120.48
36,3821,,59.94
37,4112,,194.48
38,1677,,158.17
39,4391,,304.73
40,391,,99.21
41,1721,,243.70
42,2514,,252.87
43,4775,,22.53
44,853,,226.25
45,2570,,21.05
46,2092,,100.72
47,1403,,300.20
48,2696,,228.01
49,4590,,50.71
50,972,,291.29
51,1375,,245.20
52,878,,196.67
53,137,,159.93
54,2808,,284.08
55,1567,,75.65
56,2605,,301.00
57,1484,,180.48
58,777,,174.38
59,4280,,212.45
60,2199,,319.68
61,4266,,155.05
62,1916,,113.40
63,1863,,96.64
64,1531,,182.28
65,1440,,93.08
66,1633,,252.94
67,3963,,298.76
68,2658,,46.80
69,1574,,7.50
70,1757,,185.25
71,876,,50.37
72,1500,,112.96
73,4104,,304.15
74,4568,,120.39
75,304,,17.73
76,4150,,37.94
77,283,,137.87
78,1622,,309.42
79,121,,313.29
80,4620,,279.24
81,2560,,32.97
82,4813,,300.51
83,144,,288.33
84,3038,,316.29
85,2178,,156.14
86,276,,106.73
87,4448,,260.22
88,1141,,7.28
89,2727,,211.74
90,4518,,285.22
91,3210,,249.05
92,3706,,16.23
93,4536,,212.07
94,465,,57.30
95,4100,,136.95
96,3410,,30.06
97,1833,,227.98
98,2969,,299.64
99,1480,,256.87
100,1315,,203.15
101,56,,10.93
102,4947,,50.32
103,230,,270.55
104,3597,,289.66
105,4621,,196.51
106,4419,,241.06
107,217,,257.85
108,1009,,262.52
