product_id,product_name,category,price,stock_quantity
1,Product1,Category3,73.68,11210
2,Product2,Category2,228.55,24880
3,Product3,Category1,139.67,14174
4,Product4,Category1,116.76,10067
5,Product5,Category2,193.87,15960
6,Product6,Category0,68.85,1641
7,Product7,Category7,177.85,10723
8,Product8,Category0,49.37,28826
9,Product9,Category1,20.41,24113
10,Product10,Category6,25.98,22853
11,Product11,Category0,2.00,18637
12,Product12,Category6,122.40,28860
13,Product13,Category6,161.10,30913
14,Product14,Category8,115.28,24514
15,Product15,Category2,288.71,7271
16,Product16,Category8,67.18,16069
17,Product17,Category1,255.05,272
18,Product18,Category1,119.11,17628
19,Product19,Category0,248.58,28758
20,Product20,Category5,251.80,27263
21,Product21,Category9,15.92,1857
22,Product22,Category0,5.36,31752
23,Product23,Category5,287.41,25372
24,Product24,Category5,276.95,22509
25,Product25,Category6,234.09,16405
26,Product26,Category6,305.11,21690
27,Product27,Category7,38.77,26007
28,Product28,Category4,152.24,2769
29,Product29,Category5,133.52,31848
30,Product30,Category8,155.47,32226
31,Product31,Category1,287.88,10881
32,Product32,Category5,120.84,25128
33,Product33,Category3,258.14,4273
34,Product34,Category7,216.71,31080
35,Product35,Category3,266.96,1520
36,Product36,Category4,115.48,17323
37,Product37,Category9,74.38,11396
38,Product38,Category5,305.53,32694
39,Product39,Category2,152.51,15574
40,Product40,Category1,156.52,14158
41,Product41,Category8,120.32,8721
42,Product42,Category2,264.21,21293
43,Product43,Category4,244.81,17536
44,Product44,Category4,53.73,29378
45,Product45,Category8,181.69,7588
46,Product46,Category4,133.37,940
47,Product47,Category5,106.55,29208
48,Product48,Category4,50.12,21749
49,Product49,Category7,48.31,19750
50,Product50,Category5,283.84,8718
51,Product51,Category0,281.76,6693
52,Product52,Category3,114.11,20878
53,Product53,Category7,229.66,30616
54,Product54,Category7,196.82,25515
55,Product55,Category8,41.84,8200
56,Product56,Category3,173.74,19572
57,Product57,Category9,8.00,1181
58,Product58,Category8,152.16,13780
59,Product59,Category4,5.64,30079
60,Product60,Category7,309.97,25927
61,Product61,Category3,37.98,29679
62,Product62,Category7,254.34,16729
63,Product63,Category5,131.18,2595
64,Product64,Category1,253.67,13027
65,Product65,Category7,317.94,17638
66,Product66,Category4,72.75,24069
67,Product67,Category2,287.79,10988
68,Product68,Category9,152.26,28386
69,Product69,Category7,86.16,19958
70,Product70,Category9,207.13,30238
71,Product71,Category9,131.98,20906
72,Product72,Category8,312.54,4377
73,Product73,Category2,297.66,1072
74,Product74,Category7,207.60,23016
75,Product75,Category9,253.01,25740
76,Product76,Category9,246.98,23320
77,Product77,Category9,161.85,12990
78,Product78,Category3,58.14,801
79,Product79,Category7,0.73,26011
80,Product80,Category6,300.67,21420
81,Product81,Category4,192.74,8809
82,Product82,Category8,149.16,18565
83,Product83,Category0,28.38,4669
84,Product84,Category4,128.80,12894
85,Product85,Category3,143.69,12565
86,Product86,Category2,39.50,329
87,Product87,Category6,20.35,29365
88,Product88,Category8,223.46,15091
89,Product89,Category4,319.22,22850
90,Product90,Category1,171.95,6305
91,Product91,Category7,28.82,22944
92,Product92,Category8,168.08,2284
93,Product93,Category5,269.76,10635
94,Product94,Category1,225.71,4412
95,Product95,Category5,85.75,21367
96,Product96,Category2,82.31,19206
97,Product97,Category1,21.47,11304
98,Product98,Category6,235.77,30917
99,Product99,Category5,287.98,1553
100,Product100,Category7,246.39,28346
101,Product101,Category4,140.93,15982
102,Product102,Category2,192.27,19299
103,Product103,Category1,17.78,32
104,Product104,Category1,188.54,15292
105,Product105,Category1,279.84,22604
106,Product106,Category8,254.29,18231
107,Product107,Category3,71.44,30898
108,Product108,Category8,25.09,24445
109,Product109,Category3,300.06,17357
110,Product110,Category8,267.25,12259
111,Product111,Category3,159.47,32432
112,Product112,Category0,121.27,26794
113,Product113,Category0,47.13,17563
114,Product114,Category3,222.46,511
115,Product115,Category8,297.92,6240
116,Product116,Category9,55.75,12973
117,Product117,Category0,65.71,12152
118,Product118,Category9,20.31,5795
119,Product119,Category1,192.73,21220
120,Product120,Category7,165.52,16682
121,Product121,Category3,308.12,29125
122,Product122,Category1,175.55,14050
123,Product123,Category1,221.48,16826
124,Product124,Category3,100.85,2945
125,Product125,Category7,112.58,2301
126,Product126,Category0,187.85,8012
127,Product127,Category9,80.43,28220
128,Product128,Category1,288.25,14417
129,Product129,Category9,106.50,27193
130,Product130,Category5,148.20,29545
131,Product131,Category6,12.04,14112
132,Product132,Category5,75.82,18673
133,Product133,Category1,136.82,22956
134,Product134,Category4,10.58,8515
135,Product135,Category0,25.45,8184
136,Product136,Category4,97.36,13558
137,Product137,Category2,108.33,12838
138,Product138,Category9,133.43,13530
139,Product139,Category0,59.03,4273
140,Product140,Category9,8.09,30130
141,Product141,Category6,125.78,7314
142,Product142,Category6,141.69,7087
143,Product143,Category6,102.00,1302
144,Product144,Category8,111.49,433
145,Product145,Category5,267.35,14202
146,Product146,Category7,41.71,22589
147,Product147,Category0,275.07,11340
148,Product148,Category9,323.81,14396
149,Product149,Category3,317.06,11905
150,Product150,Category1,312.12,9593
151,Product151,Category6,214.73,30805
152,Product152,Category2,80.62,15576
153,Product153,Category4,111.72,16870
154,Product154,Category6,315.35,2647
155,Product155,Category4,55.04,7567
156,Product156,Category2,168.49,17094
157,Product157,Category4,174.49,15877
158,Product158,Category0,272.67,23878
159,Product159,Category5,57.70,564
160,Product160,Category3,255.87,18563
161,Product161,Category0,13.76,25303
162,Product162,Category2,249.15,14257
163,Product163,Category1,201.16,7641
164,Product164,Category5,315.16,17224
165,Product165,Category5,313.24,15215
166,Product166,Category8,80.69,22910
167,Product167,Category2,56.50,18674
168,Product168,Category8,37.78,14985
169,Product169,Category8,165.92,25981
170,Product170,Category8,243.17,31889
171,Product171,Category3,260.63,31819
172,Product172,Category0,174.29,21367
173,Product173,Category7,165.17,18637
174,Product174,Category7,59.13,6216
175,Product175,Category0,16.56,142
176,Product176,Category4,229.14,19583
177,Product177,Category6,212.19,16071
178,Product178,Category8,123.40,5374
179,Product179,Category0,123.04,3521
180,Product180,Category4,46.59,26827
181,Product181,Category2,231.52,10735
182,Product182,Category9,100.21,28555
183,Product183,Category2,65.23,23239
184,Product184,Category3,44.91,19391
185,Product185,Category9,190.18,32100
186,Product186,Category6,83.83,19648
187,Product187,Category4,307.09,7389
188,Product188,Category5,99.01,17531
189,Product189,Category5,75.98,13411
190,Product190,Category6,279.85,31981
191,Product191,Category7,283.14,30493
192,Product192,Category4,20.36,2397
193,Product193,Category8,162.43,14787
194,Product194,Category8,317.82,28509
195,Product195,Category7,281.26,23036
196,Product196,Category1,323.78,25470
197,Product197,Category4,249.73,16248
198,Product198,Category3,161.32,5590
199,Product199,Category8,7.88,21197
200,Product200,Category0,4.03,18995
201,Product201,Category9,175.48,1554
202,Product202,Category6,321.74,14364
203,Product203,Category7,61.22,19262
204,Product204,Category8,169.77,28299
205,Product205,Category5,284.44,5182
206,Product206,Category1,65.00,14189
207,Product207,Category9,86.81,14552
208,Product208,Category0,99.84,14037
209,Product209,Category2,218.93,24130
210,Product210,Category5,164.80,16900
211,Product211,Category8,168.87,15489
212,Product212,Category8,139.93,10778
213,Product213,Category1,289.71,23939
214,Product214,Category9,44.42,30360
215,Product215,Category3,214.62,12795
216,Product216,Category1,298.41,19357
217,Product217,Category0,184.46,6144
218,Product218,Category2,120.35,30684
219,Product219,Category8,280.69,12133
220,Product220,Category6,111.93,26208
221,Product221,Category1,256.72,6102
222,Product222,Category5,172.91,28671
223,Product223,Category4,203.16,29879
224,Product224,Category4,108.45,18591
225,Product225,Category8,152.52,21180
226,Product226,Category5,137.95,1068
227,Product227,Category9,10.48,19272
228,Product228,Category4,120.94,28501
229,Product229,Category9,185.69,391
230,Product230,Category1,15.73,14345
231,Product231,Category2,108.79,21834
232,Product232,Category0,322.58,8629
233,Product233,Category1,192.13,26534
234,Product234,Category0,111.94,16698
235,Product235,Category8,161.00,19786
236,Product236,Category8,300.51,31920
237,Product237,Category9,26.72,2724
238,Product238,Category8,209.30,19165
239,Product239,Category6,173.30,13747
240,Product240,Category5,9.07,28275
241,Product241,Category9,301.71,22954
242,Product242,Category2,195.43,10509
243,Product243,Category9,88.78,30794
244,Product244,Category8,213.48,8680
245,Product245,Category1,321.46,17661
246,Product246,Category5,153.76,31841
247,Product247,Category0,154.82,30129
248,Product248,Category4,102.60,23090
249,Product249,Category6,67.73,17786
250,Product250,Category9,85.76,17772
251,Product251,Category0,266.44,1255
252,Product252,Category8,103.62,15924
253,Product253,Category7,177.91,21535
254,Product254,Category9,247.58,26685
255,Product255,Category0,251.74,25284
256,Product256,Category2,68.36,5129
257,Product257,Category7,243.92,20868
258,Product258,Category5,135.01,8159
259,Product259,Category1,116.37,4479
260,Product260,Category4,39.95,27787
261,Product261,Category0,19.25,23900
262,Product262,Category9,48.91,25048
263,Product263,Category7,247.09,10281
264,Product264,Category0,323.23,16078
265,Product265,Category7,257.33,7670
266,Product266,Category4,325.95,12716
267,Product267,Category9,263.54,4657
268,Product268,Category0,203.50,29604
269,Product269,Category1,232.19,30656
270,Product270,Category5,200.69,25689
271,Product271,Category6,122.94,16097
272,Product272,Category3,228.72,24857
273,Product273,Category1,133.37,13505
274,Product274,Category9,231.15,21466
275,Product275,Category7,200.72,16605
276,Product276,Category7,190.98,13814
277,Product277,Category7,142.97,7196
278,Product278,Category6,95.96,678
279,Product279,Category7,19.45,23977
280,Product280,Category7,16.09,21824
281,Product281,Category5,127.24,31122
282,Product282,Category1,282.67,12080
283,Product283,Category0,213.66,3362
284,Product284,Category7,284.53,8632
285,Product285,Category2,270.13,5374
286,Product286,Category7,130.63,22375
287,Product287,Category0,193.87,26882
288,Product288,Category7,90.05,14683
289,Product289,Category3,27.57,6617
290,Product290,Category7,92.75,11318
291,Product291,Category3,29.41,3166
292,Product292,Category8,100.08,8417
293,Product293,Category7,317.51,28342
294,Product294,Category4,24.13,29955
295,Product295,Category0,324.29,25386
296,Product296,Category4,4.76,24384
297,Product297,Category4,98.51,31941
298,Product298,Category6,51.20,25394
299,Product299,Category4,86.01,27057
300,Product300,Category2,184.73,2344
301,Product301,Category7,116.28,26450
302,Product302,Category3,89.16,21921
303,Product303,Category1,123.96,23584
304,Product304,Category3,61.24,15494
305,Product305,Category9,55.72,13125
306,Product306,Category2,301.47,3115
307,Product307,Category3,180.92,22010
308,Product308,Category7,9.75,3076
309,Product309,Category3,239.42,24225
310,Product310,Category9,207.72,19239
311,Product311,Category4,283.45,24995
312,Product312,Category5,283.41,23173
313,Product313,Category2,8.49,26631
314,Product314,Category5,44.26,28392
315,Product315,Category2,85.31,30679
316,Product316,Category9,223.36,9900
317,Product317,Category9,322.25,17971
318,Product318,Category3,117.80,28477
319,Product319,Category6,135.86,28466
320,Product320,Category9,49.41,18004
321,Product321,Category0,91.03,20348
322,Product322,Category4,118.05,21232
323,Product323,Category4,158.53,23464
324,Product324,Category4,316.05,4630
325,Product325,Category8,4.62,4438
326,Product326,Category0,27.79,4938
327,Product327,Category6,237.34,24076
328,Product328,Category8,16.76,201
329,Product329,Category6,93.90,6097
330,Product330,Category9,8.97,28555
331,Product331,Category7,324.11,25483
332,Product332,Category9,217.96,13051
333,Product333,Category4,200.59,9498
334,Product334,Category1,247.83,12404
335,Product335,Category7,32.36,21808
336,Product336,Category1,115.29,28283
337,Product337,Category8,78.37,22775
338,Product338,Category7,103.67,23487
339,Product339,Category2,28.74,14177
340,Product340,Category0,257.95,2513
341,Product341,Category9,108.40,18508
342,Product342,Category7,165.84,22435
343,Product343,Category6,106.52,14686
344,Product344,Category4,161.53,18370
345,Product345,Category7,7.79,1179
346,Product346,Category0,9.89,32339
347,Product347,Category6,167.45,13510
348,Product348,Category5,139.63,8911
349,Product349,Category8,118.59,4989
350,Product350,Category1,172.61,8574
351,Product351,Category8,179.47,7443
352,Product352,Category6,145.50,2229
353,Product353,Category3,34.31,22061
